,index,Injured,Killed,Counter,Shoot_First,ID,State,Inj_att,Kil_att
0,46,30.0,5.0,5.0,0,AL,Alabama,6.0,1.0
1,2,15.0,5.0,5.0,0,AZ,Arizona,3.0,1.0
2,48,35.0,2.0,3.0,3,AR,Arkansas,11.666666666666666,0.6666666666666666
3,6,143.0,37.0,36.0,2,CA,California,3.9722222222222223,1.0277777777777777
4,4,1.0,3.0,1.0,3,CO,Colorado,1.0,3.0
5,37,6.0,2.0,2.0,3,CT,Connecticut,3.0,1.0
6,36,4.0,0.0,1.0,3,DE,Delaware,4.0,0.0
7,32,22.0,2.0,5.0,3,DC,District of Columbia,4.4,0.4
8,44,93.0,20.0,22.0,0,FL,Florida,4.2272727272727275,0.9090909090909091
9,43,36.0,9.0,9.0,0,GA,Georgia,4.0,1.0
10,25,145.0,24.0,35.0,2,IL,Illinois,4.142857142857143,0.6857142857142857
11,24,32.0,5.0,8.0,0,IN,Indiana,4.0,0.625
12,23,8.0,1.0,2.0,3,IA,Iowa,4.0,0.5
13,16,8.0,11.0,4.0,0,KS,Kansas,2.0,2.75
14,21,26.0,2.0,6.0,0,KY,Kentucky,4.333333333333333,0.3333333333333333
15,45,45.0,16.0,13.0,0,LA,Louisiana,3.4615384615384617,1.2307692307692308
16,35,1.0,4.0,1.0,3,ME,Maine,1.0,4.0
17,34,25.0,9.0,8.0,3,MD,Maryland,3.125,1.125
18,20,25.0,9.0,8.0,0,MI,Michigan,3.125,1.125
19,19,13.0,4.0,4.0,3,MN,Minnesota,3.25,1.0
20,47,32.0,24.0,11.0,0,MS,Mississippi,2.909090909090909,2.1818181818181817
21,18,29.0,19.0,10.0,1,MO,Missouri,2.9,1.9
22,9,2.0,3.0,1.0,0,MT,Montana,2.0,3.0
23,1,441.0,59.0,1.0,0,NV,Nevada,441.0,59.0
24,30,41.0,9.0,12.0,3,NJ,New Jersey,3.4166666666666665,0.75
25,0,4.0,7.0,2.0,2,NM,New Mexico,2.0,3.5
26,29,56.0,4.0,13.0,3,NY,New York,4.3076923076923075,0.3076923076923077
27,42,22.0,12.0,7.0,0,NC,North Carolina,3.142857142857143,1.7142857142857142
28,22,95.0,18.0,20.0,1,OH,Ohio,4.75,0.9
29,49,3.0,2.0,1.0,0,OK,Oklahoma,3.0,2.0
30,28,56.0,7.0,14.0,0,PA,Pennsylvania,4.0,0.5
31,41,32.0,5.0,7.0,0,SC,South Carolina,4.571428571428571,0.7142857142857143
32,40,63.0,7.0,14.0,0,TN,Tennessee,4.5,0.5
33,50,91.0,59.0,22.0,0,TX,Texas,4.136363636363637,2.6818181818181817
34,3,2.0,3.0,1.0,0,UT,Utah,2.0,3.0
35,39,51.0,7.0,12.0,2,VA,Virginia,4.25,0.5833333333333334
36,7,9.0,1.0,2.0,2,WA,Washington,4.5,0.5
37,17,4.0,5.0,2.0,1,WI,Wisconsin,2.0,2.5
38,5,,,,3,HI,Hawaii,,
39,8,,,,2,OR,Oregon,,
40,10,,,,1,AK,Alaska,,
41,11,,,,2,ID,Idaho,,
42,12,,,,3,WY,Wyoming,,
43,13,,,,3,NE,Nebraska,,
44,14,,,,0,SD,South Dakota,,
45,15,,,,1,ND,North Dakota,,
46,26,,,,3,VT,Vermont,,
47,27,,,,3,RI,Rhode Island,,
48,31,,,,0,NH,New Hampshire,,
49,33,,,,3,MA,Massachusetts,,
50,38,,,,0,WV,West Virginia,,
