,Date,Incident,Injured,Killed,Location,State
329,2017-01-01,/incident/739766,7,0,8000 block of NW 14th Ave,Florida
326,2017-01-01,/incident/739451,3,1,9220 Skillman Street,Texas
328,2017-01-01,/incident/743282,5,0,114 North Greyer Street,Mississippi
325,2017-01-03,/incident/742001,4,0,500 block of Hawthorne Drive,Texas
327,2017-01-04,/incident/742542,1,3,14520 Village Drive,California
324,2017-01-06,/incident/743995,6,5,100 Terminal Dr,Florida
311,2017-01-06,/incident/744799,2,2,100 block of W Claremont St,California
323,2017-01-07,/incident/745236,3,1,2500 block of Churchill Ave,Michigan
322,2017-01-11,/incident/748152,3,1,Hawkins Street and Christie Street,New Jersey
310,2017-01-11,/incident/748348,3,1,4200 block of S Talman,Illinois
309,2017-01-12,/incident/749769,2,2,500 block of Sunrise St,California
321,2017-01-12,/incident/749361,2,3,8607 E 61st Terrace,Missouri
320,2017-01-15,/incident/752249,1,3,County Road Y,Colorado
308,2017-01-15,/incident/751367,4,1,6000 block of Church Road,Mississippi
319,2017-01-16,/incident/752756,4,0,8535 Martin Luther King Boulevard,Texas
307,2017-01-16,/incident/752222,8,0,6011 NW 32nd Ave,Florida
318,2017-01-20,/incident/757955,4,1,Smart Road,Mississippi
306,2017-01-20,/incident/756015,4,0,4700 block of E Montecito Ave,California
317,2017-01-21,/incident/756526,5,0,500 NE 2nd St,Florida
304,2017-01-21,/incident/756801,6,0,6510 Tara Blvd,Georgia
305,2017-01-21,/incident/756504,2,2,500 block of Delta Road,Tennessee
303,2017-01-22,/incident/757032,4,0,1800 block of W 63rd,Illinois
315,2017-01-22,/incident/757158,2,3,200 block of Oak Shore Dr,Texas
316,2017-01-22,/incident/757001,1,3,2841 Greenbriar Pkwy SW,Georgia
302,2017-01-25,/incident/760259,6,0,500 block of E 75th St,Illinois
314,2017-01-26,/incident/760482,3,2,1510 Maryland Drive,Georgia
301,2017-01-27,/incident/761973,10,0,221 Morgan St,Tennessee
313,2017-01-29,/incident/763313,4,1,6363 Hearne Ave,Louisiana
300,2017-01-30,/incident/764020,4,0,5410 Lakeland Ave N,Minnesota
312,2017-01-31,/incident/765153,4,0,2900 block of Martin Luther King Jr Ave,District of Columbia
299,2017-01-31,/incident/765559,4,0,1576 S White Station Rd,Tennessee
286,2017-02-06,/incident/768243,0,4,11th Street,Mississippi
285,2017-02-07,/incident/769511,4,0,5500 block of Fairfield Road,South Carolina
298,2017-02-07,/incident/769859,4,1,25 Par Drive,Arkansas
297,2017-02-08,/incident/769889,4,1,16379 Euclid Ave,Ohio
284,2017-02-09,/incident/771826,0,4,3150 Robinson Road,Mississippi
296,2017-02-10,/incident/772067,5,1,2nd St and Dryades St,Louisiana
295,2017-02-11,/incident/772989,4,0,Clifton Road and Midway Drive,Tennessee
283,2017-02-11,/incident/772753,3,1,100 block of North Mayfield,Illinois
282,2017-02-12,/incident/773908,5,0,Church Ave and Obadiah St,Florida
281,2017-02-12,/incident/773002,6,1,908 Truman Blvd,Missouri
294,2017-02-12,/incident/773162,3,1,253 South William Street,New York
293,2017-02-15,/incident/775531,2,3,3949 South Albany Avenue,Illinois
280,2017-02-15,/incident/775903,4,0,30 Soledad Street,California
279,2017-02-18,/incident/777876,4,0,1 block of N Conestoga,Pennsylvania
292,2017-02-18,/incident/777410,3,1,1000 block of Yukon St,Indiana
291,2017-02-19,/incident/778182,3,1,Church Street and East Virginia Beach Blvd,Virginia
278,2017-02-20,/incident/778941,5,0,1082 East 105th Street,Ohio
290,2017-02-21,/incident/779582,0,4,Butts Road,Mississippi
277,2017-02-21,/incident/780036,4,0,16700 Lorain Ave,Ohio
289,2017-02-22,/incident/780792,4,0,191 Genesee St,New York
288,2017-02-25,/incident/783102,3,2,1564 Niles Cortland Rd SE,Ohio
276,2017-02-25,/incident/783090,4,1,3604 Moncrief Rd,Florida
275,2017-02-26,/incident/783623,4,1,1700 block of Grant St,Indiana
287,2017-02-27,/incident/783963,4,0,11810 Fountain Way,Virginia
274,2017-02-28,/incident/785262,6,0,1700 of Casey Drive,Ohio
273,2017-03-03,/incident/786876,4,0,7165 Germantown Ave,Pennsylvania
261,2017-03-03,/incident/787435,5,0,8300 block of Trey Ave,California
260,2017-03-04,/incident/787801,4,0,2500 block of 33rd St,California
272,2017-03-04,/incident/787875,4,1,23rd and Bellview,Kansas
259,2017-03-05,/incident/789424,4,0,600 block of 32nd Street,Georgia
271,2017-03-07,/incident/789798,4,0,West 76th Street and South May streets,Illinois
258,2017-03-10,/incident/791274,1,3,4200 block of Touro St,Louisiana
270,2017-03-10,/incident/791298,2,2,123 E 51st St,Illinois
257,2017-03-15,/incident/794468,1,3,2508 Pasadena Ave,Louisiana
269,2017-03-18,/incident/797125,2,3,16000 block of Rutherford,Michigan
256,2017-03-19,/incident/797553,5,1,1512 Portland Avenue,Kentucky
268,2017-03-22,/incident/800363,0,5,1133 E Grand Ave,Wisconsin
267,2017-03-24,/incident/802425,4,1,300 block of South Villa Avenue,California
255,2017-03-24,/incident/802240,6,1,5100 block of Palm St,Missouri
254,2017-03-25,/incident/802837,2,2,E 79th St and Woodland Ave,Ohio
266,2017-03-25,/incident/802926,4,1,Minnesota Avenue,Tennessee
253,2017-03-25,/incident/803460,3,1,8443 Grand River Ave,Michigan
252,2017-03-26,/incident/803054,15,2,4601 Kellogg Ave,Ohio
265,2017-03-26,/incident/803689,2,2,E 75th St,Ohio
264,2017-03-26,/incident/803822,4,2,5619 Aldine Bender Rd,Texas
251,2017-03-27,/incident/804115,4,2,209 Hays Dr,Florida
263,2017-03-30,/incident/807618,0,4,2704 E 75th St,Illinois
250,2017-04-01,/incident/809499,3,2,1200 block of N Woodward Avenue,Oklahoma
249,2017-04-01,/incident/809815,5,0,100 block of Madoline Street,California
262,2017-04-01,/incident/809048,4,1,219 S Howard Ave,Florida
248,2017-04-02,/incident/809978,4,2,3500 block of West Van Buren Street,Illinois
236,2017-04-02,/incident/809683,5,0,2500 Martin Luther King Jr. Parkway,Iowa
247,2017-04-03,/incident/810756,1,3,1100 block of W Stiles St,Pennsylvania
235,2017-04-03,/incident/811089,7,0,5401 Ave Q,Texas
234,2017-04-06,/incident/813028,3,1,2000 block of Tulip St,Louisiana
232,2017-04-07,/incident/813877,1,3,1423 29th Ave Dr NE,North Carolina
245,2017-04-07,/incident/813821,0,5,3829 Mount Pleasant St,Texas
246,2017-04-07,/incident/814094,5,1,5600 block of W Lake St,Illinois
233,2017-04-07,/incident/813943,1,4,1600 block of English St,Minnesota
244,2017-04-09,/incident/815246,3,1,9439 Lima Rd,Indiana
231,2017-04-09,/incident/815227,3,1,3100 block of Fidelia Drive,Texas
243,2017-04-13,/incident/818932,3,1,30 Anderson Ave SW,Georgia
228,2017-04-15,/incident/820565,4,0,300 block of S Meridian St,Indiana
229,2017-04-15,/incident/821055,4,0,5900 block of Hammond Street,Pennsylvania
230,2017-04-15,/incident/822750,4,0,900 block of N Allen St,California
241,2017-04-15,/incident/821400,6,0,1480 Center Point Pkwy,Alabama
240,2017-04-15,/incident/821640,4,0,311 W 2nd St,Illinois
242,2017-04-15,/incident/821651,4,0,14600 block of Myrtle Avenue,Illinois
239,2017-04-16,/incident/821723,4,0,611 S Martin St,North Carolina
227,2017-04-16,/incident/821371,9,0,1710 Cleveland Av,Ohio
226,2017-04-16,/incident/821667,4,0,110 Calhoun Street,California
238,2017-04-20,/incident/825111,4,0,700 block of East Jacob Street,Kentucky
225,2017-04-21,/incident/825694,2,2,2500 block of Vernon Dr,Florida
237,2017-04-26,/incident/829073,4,0,SW 264th St and 139th Ave,Florida
224,2017-04-27,/incident/830984,3,1,1100 block of S Orange Ave,New Jersey
211,2017-04-28,/incident/831201,4,0,5 E 21st St,Pennsylvania
208,2017-04-29,/incident/831667,3,1,12800 block of Kitchen House Way,Maryland
210,2017-04-29,/incident/834788,4,0,2000 Block of N Nestor Ave,California
209,2017-04-29,/incident/832290,5,0,3800 block of 26th Avenue,California
223,2017-04-29,/incident/832063,4,0,200 block of 18th St,Virginia
