Age,Cause,Date,Employed at,Employeed (Y/N),Fatalities,Gender,Incident Area,Injured,Latitude,Location,Longitude,Mental Health Issues,Open/Close Location,Policeman Killed,Race,State,Summary,Target,Title,Total victims
26,unknown,2017-11-05,,,26,M,Church,20,29.2740444,"Sutherland Springs, TX",-98.0559057,No,Close,0.0,White,Texas,"Devin Patrick Kelley, 26, an ex-air force officer, shot and killed 26 people and wounded 20 at a church in Texas. He was found dead later in his vehicle. ",random,Texas church mass shooting,46
47,unknown,2017-11-01,,,3,M,Wal-Mart,0,39.95782075,"Thornton, CO",-104.96698889170099,No,Open,0.0,White,Colorado,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",random,Walmart shooting in suburban Denver,3
37,unknown,2017-10-18,Advance Granite Store,,3,M,Remodeling Store,3,39.41871939999999,"Edgewood, MD",-76.2944016,No,Close,0.0,Black,Maryland,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",coworkers,Edgewood businees park shooting,6
64,unknown,2017-10-01,,,59,M,Las Vegas Strip Concert outside Mandala Bay,527,36.181271,"Las Vegas, NV",-115.13413200000001,Unclear,Open,1.0,White,Nevada,"Stephen Craig Paddock, opened fire from the 32nd floor of Manadalay Bay hotel at Last Vegas concert goers for no obvious reason. He shot himself and died on arrival of law enforcement agents. He was 64",random,Las Vegas Strip mass shooting,585
38,,2017-06-14,,1.0,3,M,UPS facility,2,46.8443248,"San Francisco, CA",-71.2743272,Yes,Close,0.0,Asian,California,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",coworkers,San Francisco UPS shooting,5
24,terrorism,2017-06-07,Weis grocery,1.0,3,M,Weis grocery,0,41.5385159,"Tunkhannock, PA",-75.946844,Unclear,Close,,White,Pennsylvania,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",coworkers,Pennsylvania supermarket shooting,3
45,unemployement,2017-06-05,manufacturer Fiamma Inc.,1.0,5,M,manufacturer Fiamma Inc.,0,28.5421232,"Orlando, Florida",-81.3790475,Unclear,Close,,,Florida,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",coworkers,Florida awning manufacturer shooting,5
43,,2017-05-12,some nursing home,1.0,3,M,a nursing home,0,39.9595081,"Kirkersville, Ohio",-82.59571820000002,Yes,Close,1.0,White,Ohio,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack.",coworkers,Rural Ohio nursing home shooting,3
39,racism,2017-04-18,,,3,M,a street in downtown,0,36.7295295,"Fresno, California",-119.708861260756,Unclear,Open,,Black,California,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",random,Fresno downtown shooting,3
26,terrorism,2017-01-06,,,5,M,baggage claim area of the airport,6,26.1223084,"Fort Lauderdale, Florida",-80.14337859999998,Yes,Close,,Latino,Florida,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. ",random,Fort Lauderdale airport shooting,11
20,terrorism,2016-09-23,,,5,M,cosmetics section of a MacyÃÂÃÂ¢ÃÂÃÂÃÂÃÂs department store,0,40.8075391,"Burlington, WA",-91.1129234,Yes,Close,,,Washington,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a MacyÃÂÃÂ¢ÃÂÃÂÃÂÃÂs department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",women,Cascade Mall shooting,5
,,2016-07-17,former Marine,,3,M,,3,30.4507462,"Baton Rouge, LA",-91.154551,Yes,Open,3.0,Black,Louisiana,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",police,Baton Rouge police shooting,6
25,racism,2016-07-07,Army veteran,,5,M,at protest,11,32.7762719,"Dallas, Texas",-96.7968559,Unclear,Open,5.0,Black,Texas,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",police,Dallas police shooting,16
29,,2016-06-12,,,49,M,at nightclub,53,28.5421232,"Orlando, Florida",-81.3790475,Unclear,Close,0.0,Other,Florida,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",random,Orlando nightclub massacre,102
0,,2016-04-29,,,0,Unknown,,4,38.744217,"Ferguson, Missouri",-90.305391,Unknown,Open,0.0,Unknown,Missouri,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,random,"Ferguson, MO Drive by",4
,,2016-04-26,,,1,Unknown,in street,4,38.845113,"Pumphrey Drive, Phelps, Forestville, Prince George's County, Maryland, 20747, United States of America",-76.874972,Unknown,Open,0.0,Unknown,Maryland,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",,"Forestville, Maryland Drive-by",5
,,2016-04-24,,,0,Male,crown,6,36.765971,"Halifax Police Department, Houston Street, Halifax, Halifax County, Virginia, 24558, United States of America",-78.928344,Unknown,Open,0.0,Black American or African American,Virginia,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",random,"Halifax County, VA",6
,frustration,2016-04-21,,,0,Male,block party,4,39.290385,"Business and Government Historic District, North Calvert Street, Inner Harbor, Baltimore, Maryland, 21202, United States of America",-76.612189,Unknown,Open,0.0,Black American or African American,Maryland,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,random,Tire-Slashing revenge escalation,4
