,Population,Armes,Armes/100 h.,State
0,4314113,5782119,134,Kentucky
1,2784572,844143,30,Utah
2,974989,251011,26,Montana
3,544270,124241,23,Wyoming
4,698473,155571,22,Alaska
5,1819777,390433,21,Virginia
6,812383,154856,19,South Dakota
7,646844,115326,18,North Dakota
8,2889450,505163,17,Arkansas
9,4708708,793888,17,Alabama
10,6296254,1050467,17,Tennessee
11,3687050,582591,16,Oklahoma
12,1545801,243680,16,Idaho
13,5024748,758033,15,Colorado
14,5987580,880893,15,Missouri
15,1324575,192355,15,New Hampshire
16,2951996,418150,14,Mississippi
17,12910409,1791836,14,Illinois
18,3518288,484926,14,Connecticut
19,2009671,269457,13,New Mexico
20,4492076,598749,13,Louisiana
21,5266214,699617,13,Minnesota
22,2818747,352794,13,Kansas
23,6664195,833558,13,Washington
24,12604767,1569167,12,Pennsylvania
25,3825657,461336,12,Oregon
26,6423113,745980,12,Indiana
27,4561242,528101,12,South Carolina
28,1318301,151974,12,Maine
29,7882590,798822,10,Virginia
30,3007856,304606,10,Iowa
31,2643085,267348,10,Nevada
32,24782302,2462370,10,Texas
33,9380884,882835,9,North Carolina
34,621760,58234,9,Vermont
35,9829211,904287,9,Georgia
36,9969727,900266,9,Michigan
37,5654774,482578,9,Wisconsin
38,11542645,980086,8,Ohio
39,1796619,145185,8,Nebraska
40,6595778,524628,8,Arizona
41,18537969,1392201,8,Florida
42,885122,49885,6,Delaware
43,36961664,2012193,5,California
44,5699478,230259,4,Maryland
45,6593587,250293,4,Massachusetts
46,1053209,36904,4,Rhode Island
47,19541453,595428,3,New York
48,1295178,26305,2,Hawaii
49,8707739,133751,2,New Jersey
50,599657,71959,12,Washington
